RxNorm,ATC
331439,C05AX04
331440,C05AX04
331681,C05AX04
331825,C05AX04
331833,C05AX04
33219,C05AX04
332191,C05AX04
332236,C05AX04
332479,C05AX04
33290,C05AX04
333077,C05AX04
333087,C05AX04
333271,C05AX04
333288,C05AX04
333483,C05AX04
333601,C05AX04
333674,C05AX04
333756,C05AX04
3339,C05AX04
334185,C05AX04
334228,C05AX04
334318,C05AX04
334319,C05AX04
334401,C05AX04
334554,C05AX04
334562,C05AX04
334576,C05AX04
334951,C05AX04
3351,C05AX04
335146,C05AX04
335640,C05AX04
335890,C05AX04
335891,C05AX04
335892,C05AX04
335893,C05AX04
335986,C05AX04
336101,C05AX04
336139,C05AX04
336473,C05AX04
336527,C05AX04
336609,C05AX04
336610,C05AX04
336868,C05AX04
337002,C05AX04
339975,C05AX04
339982,C05AX04
339983,C05AX04
339990,C05AX04
340018,C05AX04
340021,C05AX04
340025,C05AX04
340026,C05AX04
340033,C05AX04
340037,C05AX04
340049,C05AX04
340060,C05AX04
340062,C05AX04
340077,C05AX04
340078,C05AX04
340086,C05AX04
340087,C05AX04
340124,C05AX04
340133,C05AX04
340138,C05AX04
340147,C05AX04
340152,C05AX04
340163,C05AX04
340172,C05AX04
340177,C05AX04
340185,C05AX04
340597,C05AX04
340718,C05AX04
340720,C05AX04
340887,C05AX04
343028,C05AX04
343175,C05AX04
343245,C05AX04
343246,C05AX04
343329,C05AX04
343389,C05AX04
343408,C05AX04
343415,C05AX04
34347,C05AX04
343520,C05AX04
343564,C05AX04
343565,C05AX04
343576,C05AX04
343611,C05AX04
343638,C05AX04
343731,C05AX04
3455,C05AX04
34706,C05AX04
349404,C05AX04
3498,C05AX04
350202,C05AX04
351050,C05AX04
351584,C05AX04
35382,C05AX04
3554,C05AX04
358435,C05AX04
358453,C05AX04
358496,C05AX04
358519,C05AX04
358643,C05AX04
358776,C05AX04
359076,C05AX04
359453,C05AX04
360238,C05AX04
360503,C05AX04
360504,C05AX04
360505,C05AX04
360802,C05AX04
360803,C05AX04
360804,C05AX04
360805,C05AX04
360807,C05AX04
360808,C05AX04
360814,C05AX04
36344,C05AX04
367350,C05AX04
367384,C05AX04
367421,C05AX04
367422,C05AX04
367436,C05AX04
367568,C05AX04
367586,C05AX04
373396,C05AX04
373397,C05AX04
373817,C05AX04
3743,C05AX04
374474,C05AX04
374564,C05AX04
375969,C05AX04
376035,C05AX04
376105,C05AX04
376286,C05AX04
376361,C05AX04
376537,C05AX04
376552,C05AX04
376574,C05AX04
376977,C05AX04
377379,C05AX04
377623,C05AX04
377625,C05AX04
377687,C05AX04
377688,C05AX04
377720,C05AX04
377762,C05AX04
377844,C05AX04
377845,C05AX04
377938,C05AX04
379064,C05AX04
379162,C05AX04
379324,C05AX04
379325,C05AX04
379426,C05AX04
38323,C05AX04
384495,C05AX04
384540,C05AX04
384548,C05AX04
384551,C05AX04
385482,C05AX04
38574,C05AX04
385872,C05AX04
386055,C05AX04
3966,C05AX04
3992,C05AX04
39952,C05AX04
39954,C05AX04
4106,C05AX04
4158,C05AX04
415848,C05AX04
416317,C05AX04
416676,C05AX04
416677,C05AX04
416684,C05AX04
416685,C05AX04
416750,C05AX04
416751,C05AX04
416752,C05AX04
416753,C05AX04
416892,C05AX04
416946,C05AX04
417023,C05AX04
417425,C05AX04
417611,C05AX04
417976,C05AX04
417994,C05AX04
418034,C05AX04
418111,C05AX04
418140,C05AX04
418380,C05AX04
418482,C05AX04
418531,C05AX04
4186,C05AX04
418634,C05AX04
418672,C05AX04
418821,C05AX04
418822,C05AX04
418823,C05AX04
418832,C05AX04
418987,C05AX04
419008,C05AX04
419011,C05AX04
419012,C05AX04
421243,C05AX04
421480,C05AX04
421744,C05AX04
421760,C05AX04
423597,C05AX04
423714,C05AX04
426405,C05AX04
426769,C05AX04
426770,C05AX04
427690,C05AX04
