RxNorm,UMLS
389135,C0040615
1806653,C3653759
1310501,C3653285
2002728,C3653284
368613,C3653773
350386,C3653914
1743871,C3653823
1743877,C3653823
212332,C3653741
1743879,C3653823
1098148,C3653517
212339,C3653944
1990742,C3653495
1101602,C3540018
1101604,C3540018
1101605,C3540018
1101606,C3540018
900108,C0002092
1654923,C3653920
991292,C3653284
991293,C3653284
991290,C3653284
991296,C3653284
1356770,C3653336
991294,C3653284
991298,C3653284
669030,C3653798
669031,C3653798
2059296,C3653284
2059297,C3653284
336907,C3540716
3628,C3653933
1191168,C3653284
632416,C3654040
3626,C3540784
1593764,C3540784
572210,C3540784
477180,C3653798
572216,C3540784
316328,C3653622
1482820,C0003299
1482821,C0003299
999604,C3653942
2387837,C3539171
668349,C3540732
1483194,C3653942
206813,C3537250
608843,C3653741
608844,C3653741
581752,C3540010
1591959,C3653920
1739004,C3653933
1100004,C3540784
1092416,C3653763
309675,C3653774
1092415,C3653763
1423485,C3653759
309679,C3540716
616818,C3653871
616819,C3653871
616816,C3653871
616817,C3653871
616810,C3653284
616813,C3653871
1746511,C3653763
335898,C3540023
571749,C3653572
806637,C3653759
806636,C3653759
806635,C3653759
199521,C0003299
199523,C0020592
199524,C3653501
376579,C3653517
376572,C3542964
204498,C3537250
2199050,C3653284
1091143,C3653564
1091142,C3653564
1091145,C3653564
197580,C3653774
197581,C3653774
197582,C3653774
197583,C3653774
197589,C0040616
1099774,C3653285
1099772,C0003299
1099773,C3653285
1099770,C3653285
1099771,C0003299
226681,C3653533
569344,C0020592
569343,C3653774
1089120,C0471863
1089121,C0471863
1649559,C3653800
329674,C3653597
1000398,C3653565
1299650,C3653741
1011279,C3653671
4278,C3653594
1000395,C3653565
892307,C0003391
892304,C0003391
892305,C0003391
892302,C3653519
892303,C0003391
790245,C0001551
108395,C3653944
565125,C0013036
