RxNorm,UMLS
1008042,C2928953
584446,C1613058
1008043,C2928954
2178760,C4760407
1044242,C2727701
2001565,C4551847
2001564,C4551841
2001566,C4551843
1997508,C4550437
584443,C1614718
59203,C0163391
253170,C0795614
253171,C0795616
253172,C0795617
584442,C1615269
308050,C0974162
308051,C0974163
308052,C0974166
1044245,C2948478
92187,C0305666
834234,C2608990
1157229,C3211652
1000868,C0351864
834235,C2608991
2178768,C5188126
220038,C0723458
1000869,C2930384
198999,C0692076
803371,C2344119
198994,C0692069
198993,C0692068
2108241,C4745729
1158246,C3212649
2099508,C4734119
2108243,C4745730
1313735,C3496935
1942950,C1567130
1313737,C2348056
1313736,C3475281
1942955,C4520189
1942954,C4520188
1313733,C3464705
1942956,C4520190
1942959,C4520193
1942958,C4520192
1313739,C3465011
1313738,C3256908
220675,C0724125
220674,C0724124
220670,C0724120
220672,C0724122
1013923,C2727670
1013922,C2939726
1013927,C2727672
1013926,C2939728
1666640,C4051530
1168159,C3222328
799834,C2344824
799835,C2344825
1154359,C3208831
799830,C2344820
799831,C2344821
799832,C2344822
799833,C2344823
332890,C1577588
1359010,C3505650
1359011,C3505651
1154608,C3209073
371275,C1245316
1154606,C3209071
1154604,C3209069
1154605,C3209070
250485,C0792379
1154603,C3209068
250487,C0792383
250486,C0792382
2167148,C5136861
2167149,C5136933
2374585,C5384414
2167142,C5136795
2167145,C5136863
2167146,C5137078
1437739,C3666794
901353,C2741525
901351,C2741523
1101534,C3154386
371273,C1245314
1941200,C4519655
1153853,C3208327
1941201,C4519656
1014657,C2940144
1014655,C2939829
1153863,C3208337
1014653,C2940141
1014651,C2940139
1941203,C4519658
1998620,C4550592
1998621,C4550593
854137,C2718761
1251714,C3282601
1251715,C3282602
854133,C2702434
1251713,C3282600
854131,C2702432
854130,C2702431
1996297,C3484339
1998623,C4550595
35406,C0073115
1791345,C4238424
1996291,C3484340
854138,C2702435
808900,C2365955
1242002,C3189334
1242000,C3257325
1242001,C3257326
332237,C1128423
1146214,C3191479
332239,C1128425
2172490,C5140701
2172491,C5140573
1942345,C4520003
1180319,C3234179
370448,C1244469
1116981,C3194706
299081,C0961781
1297277,C3472761
1653328,C3528639
58964,C0162792
33724,C0071081
1297278,C3472762
1163895,C3218187
1163896,C3218188
38609,C0077072
2373051,C5384510
1053363,C2961699
2373058,C5384512
340032,C1140077
1159970,C3214346
1159976,C3214352
1155751,C3210198
202521,C0699237
275891,C0909381
1866401,C4301909
202525,C0699241
1155756,C3210203
346225,C1154255
346224,C1154254
1116639,C3163574
1116638,C3163573
1116635,C3163570
1116634,C3163569
1116637,C3163572
1116636,C3163571
1116633,C3163568
1116632,C1999375
1038904,C1948499
1038905,C0065081
1038906,C2946135
1038907,C2946136
800572,C2345431
800573,C2345432
800570,C2345429
